Número de Paciente,DNI,Nombre del Paciente,Edad,Tipo de Paciente,Fecha de Cita,Cobertura Médica,Médico,Especialidad,Tipo de Consulta,Costo de la Consulta,Método de Pago,Diagnóstico Principal,Código CIE-10,Tratamiento,Sucursal,Barrio,Año de cita ,Fecha de Cita,Mes de cita,tipo tratamiento numerico
1011,90123456,Pedro Cárdenas,6,Pediátrico,28/7/2025,Swiss Medical, Ana Gómez,Pediatría,Control,5500,Efectivo,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2025,28/7/2025,Julio,4
1012,23456789,Mateo Gómez,48,Adulto,29/7/2025,OSDE, Juan Pérez,Cardiología,Control,7800,Tarjeta,Arritmia,I49.9,Estudio,Norte,Palermo,2025,29/7/2025,Julio,3
1013,34567890,Diego Torres,32,Adulto,30/7/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Efectivo,Psoriasis,L40.9,Crema tópica,Sur,Belgrano,2025,30/7/2025,Julio,2
1014,45678901,Julieta Paz,25,Adulto,31/7/2025,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Fractura,S82.9,Yeso,Centro,Villa Devoto,2025,31/7/2025,Julio,2
1015,56789012,Andrés Castro,48,Adulto,1/8/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2025,1/8/2025,Agosto,3
1016,67890123,Laura Pérez,35,Adulto,2/8/2025,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Mareos,R42,Medicacón,Sur,Belgrano,2025,2/8/2025,Agosto,1
1017,78901234,Gabriel Sosa,6,Pediátrico,3/8/2025,Swiss Medical, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2025,3/8/2025,Agosto,4
1018,89012345,Luciana Vidal,38,Adulto,4/8/2025,OSDE, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2025,4/8/2025,Agosto,1
1019,90123456,Pedro Cárdenas,60,Adulto,5/8/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2025,5/8/2025,Agosto,2
1020,12345678,Sofía Ramirez,54,Adulto,6/8/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Gripe,J11.1,Analgésicos,Centro,Centro,2025,6/8/2025,Agosto,1
1021,23456789,Mateo Gómez,48,Adulto,7/8/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2025,7/8/2025,Agosto,2
1022,34567890,Diego Torres,32,Adulto,8/8/2025,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Convulsiones,R56.9,Medicacón,Sur,Belgrano,2025,8/8/2025,Agosto,1
1023,45678901,Julieta Paz,4,Pediátrico,9/8/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Fiebre,R50.9,Antipiréticos,Centro,Villa Devoto,2025,9/8/2025,Agosto,1
1024,56789012,Andrés Castro,48,Adulto,10/8/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Taquicardia,R00.0,Estudio,Norte,Palermo,2025,10/8/2025,Agosto,3
1025,67890123,Laura Pérez,35,Adulto,11/8/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Alergia,T78.4,Antihistamínicos,Sur,Belgrano,2025,11/8/2025,Agosto,1
1026,78901234,Gabriel Sosa,62,Adulto,12/8/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2025,12/8/2025,Agosto,4
1027,89012345,Luciana Vidal,38,Adulto,13/8/2025,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2025,13/8/2025,Agosto,4
1028,90123456,Pedro Cárdenas,60,Adulto,14/8/2025,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2025,14/8/2025,Agosto,3
1029,12345678,Sofía Ramirez,7,Pediátrico,15/8/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2025,15/8/2025,Agosto,4
1030,23456789,Mateo Gómez,48,Adulto,16/8/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2025,16/8/2025,Agosto,1
1031,34567890,Diego Torres,32,Adulto,17/8/2025,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2025,17/8/2025,Agosto,4
1032,45678901,Julieta Paz,25,Adulto,18/8/2025,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2025,18/8/2025,Agosto,1
1033,56789012,Andrés Castro,48,Adulto,19/8/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2025,19/8/2025,Agosto,2
1034,67890123,Laura Pérez,35,Adulto,20/8/2025,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2025,20/8/2025,Agosto,1
1035,78901234,Gabriel Sosa,6,Pediátrico,21/8/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2025,21/8/2025,Agosto,1
1036,89012345,Luciana Vidal,38,Adulto,22/8/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2025,22/8/2025,Agosto,1
1037,90123456,Pedro Cárdenas,60,Adulto,23/8/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2025,23/8/2025,Agosto,2
1038,12345678,Sofía Ramirez,54,Adulto,24/8/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2025,24/8/2025,Agosto,4
1039,23456789,Mateo Gómez,48,Adulto,25/8/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2025,25/8/2025,Agosto,3
1040,34567890,Diego Torres,32,Adulto,26/8/2025,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Accidente cerebrovascular,I64,Medicacón,Sur,Belgrano,2025,26/8/2025,Agosto,1
1041,45678901,Julieta Paz,4,Pediátrico,27/8/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2025,27/8/2025,Agosto,4
1042,56789012,Andrés Castro,48,Adulto,28/8/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Arritmia,I49.9,Estudio,Norte,Palermo,2025,28/8/2025,Agosto,3
1043,67890123,Laura Pérez,35,Adulto,29/8/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2025,29/8/2025,Agosto,2
1044,78901234,Gabriel Sosa,62,Adulto,30/8/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2025,30/8/2025,Agosto,4
1045,89012345,Luciana Vidal,38,Adulto,31/8/2025,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2025,31/8/2025,Agosto,4
1046,90123456,Pedro Cárdenas,60,Adulto,1/9/2025,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2025,1/9/2025,Agosto,3
1047,12345678,Sofía Ramirez,7,Pediátrico,2/9/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2025,2/9/2025,Agosto,4
1048,23456789,Mateo Gómez,48,Adulto,3/9/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2025,3/9/2025,Agosto,1
1049,34567890,Diego Torres,32,Adulto,4/9/2025,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2025,4/9/2025,Septiembre,4
1050,45678901,Julieta Paz,25,Adulto,5/9/2025,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2025,5/9/2025,Septiembre,1
1051,56789012,Andrés Castro,48,Adulto,6/9/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2025,6/9/2025,Septiembre,2
1052,67890123,Laura Pérez,35,Adulto,7/9/2025,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2025,7/9/2025,Septiembre,1
1053,78901234,Gabriel Sosa,6,Pediátrico,8/9/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2025,8/9/2025,Septiembre,1
1054,89012345,Luciana Vidal,38,Adulto,9/9/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2025,9/9/2025,Septiembre,1
1055,90123456,Pedro Cárdenas,60,Adulto,10/9/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2025,10/9/2025,Septiembre,2
1056,12345678,Sofía Ramirez,54,Adulto,11/9/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2025,11/9/2025,Septiembre,4
1057,23456789,Mateo Gómez,48,Adulto,12/9/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2025,12/9/2025,Septiembre,3
1058,34567890,Diego Torres,32,Adulto,13/9/2025,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Accidente cerebrovascular,I64,Medicacón,Sur,Belgrano,2025,13/9/2025,Septiembre,1
1059,45678901,Julieta Paz,4,Pediátrico,14/9/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2025,14/9/2025,Septiembre,4
1060,56789012,Andrés Castro,48,Adulto,15/9/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Arritmia,I49.9,Estudio,Norte,Palermo,2025,15/9/2025,Septiembre,3
1061,67890123,Laura Pérez,35,Adulto,16/9/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2025,16/9/2025,Septiembre,2
1062,78901234,Gabriel Sosa,62,Adulto,17/9/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2025,17/9/2025,Septiembre,4
1063,89012345,Luciana Vidal,38,Adulto,18/9/2025,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2025,18/9/2025,Septiembre,4
1064,90123456,Pedro Cárdenas,60,Adulto,19/9/2025,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2025,19/9/2025,Septiembre,3
1065,12345678,Sofía Ramirez,7,Pediátrico,20/9/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2025,20/9/2025,Septiembre,4
1066,23456789,Mateo Gómez,48,Adulto,21/9/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2025,21/9/2025,Septiembre,1
1067,34567890,Diego Torres,32,Adulto,22/9/2025,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2025,22/9/2025,Septiembre,4
1068,45678901,Julieta Paz,25,Adulto,23/9/2025,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2025,23/9/2025,Septiembre,1
1069,56789012,Andrés Castro,48,Adulto,24/9/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2025,24/9/2025,Septiembre,2
1070,67890123,Laura Pérez,35,Adulto,25/9/2025,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2025,25/9/2025,Septiembre,1
1071,78901234,Gabriel Sosa,6,Pediátrico,26/9/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2025,26/9/2025,Septiembre,1
1072,89012345,Luciana Vidal,38,Adulto,27/9/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2025,27/9/2025,Septiembre,1
1073,90123456,Pedro Cárdenas,60,Adulto,28/9/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2025,28/9/2025,Septiembre,2
1074,12345678,Sofía Ramirez,54,Adulto,29/9/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2025,29/9/2025,Septiembre,4
1075,23456789,Mateo Gómez,48,Adulto,30/9/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2025,30/9/2025,Octubre,3
1076,34567890,Diego Torres,32,Adulto,1/10/2025,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Accidente cerebrovascular,I64,Medicacón,Sur,Belgrano,2025,1/10/2025,Octubre,1
1077,45678901,Julieta Paz,4,Pediátrico,2/10/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2025,2/10/2025,Octubre,4
1078,56789012,Andrés Castro,48,Adulto,3/10/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Arritmia,I49.9,Estudio,Norte,Palermo,2025,3/10/2025,Octubre,3
1079,67890123,Laura Pérez,35,Adulto,4/10/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2025,4/10/2025,Octubre,2
1080,78901234,Gabriel Sosa,62,Adulto,5/10/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2025,5/10/2025,Octubre,4
1081,89012345,Luciana Vidal,38,Adulto,6/10/2025,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2025,6/10/2025,Octubre,4
1082,90123456,Pedro Cárdenas,60,Adulto,7/10/2025,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2025,7/10/2025,Octubre,3
1083,12345678,Sofía Ramirez,7,Pediátrico,8/10/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2025,8/10/2025,Octubre,4
1084,23456789,Mateo Gómez,48,Adulto,9/10/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2025,9/10/2025,Octubre,1
1085,34567890,Diego Torres,32,Adulto,10/10/2025,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2025,10/10/2025,Octubre,4
1086,45678901,Julieta Paz,25,Adulto,11/10/2025,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2025,11/10/2025,Octubre,1
1087,56789012,Andrés Castro,48,Adulto,12/10/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2025,12/10/2025,Octubre,2
1088,67890123,Laura Pérez,35,Adulto,13/10/2025,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2025,13/10/2025,Octubre,1
1089,78901234,Gabriel Sosa,6,Pediátrico,14/10/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2025,14/10/2025,Octubre,1
1090,89012345,Luciana Vidal,38,Adulto,15/10/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2025,15/10/2025,Octubre,1
1091,90123456,Pedro Cárdenas,60,Adulto,16/10/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2025,16/10/2025,Octubre,2
1092,12345678,Sofía Ramirez,54,Adulto,17/10/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2025,17/10/2025,Octubre,4
1093,23456789,Mateo Gómez,48,Adulto,18/10/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2025,18/10/2025,Octubre,3
1094,34567890,Diego Torres,32,Adulto,19/10/2025,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Accidente cerebrovascular,I64,Medicacón,Sur,Belgrano,2025,19/10/2025,Octubre,1
1095,45678901,Julieta Paz,4,Pediátrico,20/10/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2025,20/10/2025,Octubre,4
1096,56789012,Andrés Castro,48,Adulto,21/10/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Arritmia,I49.9,Estudio,Norte,Palermo,2025,21/10/2025,Octubre,3
1097,67890123,Laura Pérez,35,Adulto,22/10/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2025,22/10/2025,Octubre,2
1098,78901234,Gabriel Sosa,62,Adulto,23/10/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2025,23/10/2025,Octubre,4
1099,89012345,Luciana Vidal,38,Adulto,24/10/2025,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2025,24/10/2025,Octubre,4
1100,90123456,Pedro Cárdenas,60,Adulto,25/10/2025,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2025,25/10/2025,Octubre,3
1101,12345678,Sofía Ramirez,7,Pediátrico,26/10/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2025,26/10/2025,Noviembre,4
1102,23456789,Mateo Gómez,48,Adulto,27/10/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2025,27/10/2025,Noviembre,1
1103,34567890,Diego Torres,32,Adulto,28/10/2025,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2025,28/10/2025,Noviembre,4
1104,45678901,Julieta Paz,25,Adulto,29/10/2025,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2025,29/10/2025,Noviembre,1
1105,56789012,Andrés Castro,48,Adulto,30/10/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2025,30/10/2025,Noviembre,2
1106,67890123,Laura Pérez,35,Adulto,31/10/2025,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2025,31/10/2025,Noviembre,1
1107,78901234,Gabriel Sosa,6,Pediátrico,1/11/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2025,1/11/2025,Noviembre,1
1108,89012345,Luciana Vidal,38,Adulto,2/11/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Hipertensión,I10,Medicacón,Norte,Palermo,2025,2/11/2025,Noviembre,1
1109,90123456,Pedro Cárdenas,60,Adulto,3/11/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Eczema,L30.9,Crema tópica,Sur,Belgrano,2025,3/11/2025,Noviembre,2
1110,12345678,Sofía Ramirez,54,Adulto,4/11/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Chequeo General,Z00.0,Ninguno,Centro,Centro,2025,4/11/2025,Noviembre,4
1111,23456789,Mateo Gómez,48,Adulto,5/11/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Limpieza,Z00.0,Limpieza,Norte,Palermo,2025,5/11/2025,Noviembre,3
1112,34567890,Diego Torres,32,Adulto,6/11/2025,Particular, Diego Luna,Neurología,Emergencia,10000,Tarjeta,Accidente cerebrovascular,I64,Medicacón,Sur,Belgrano,2025,6/11/2025,Noviembre,1
1113,45678901,Julieta Paz,4,Pediátrico,7/11/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Ninguno,Centro,Villa Devoto,2025,7/11/2025,Noviembre,4
1114,56789012,Andrés Castro,48,Adulto,8/11/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Arritmia,I49.9,Estudio,Norte,Palermo,2025,8/11/2025,Noviembre,3
1115,67890123,Laura Pérez,35,Adulto,9/11/2025,Particular, Laura Díaz,Dermatología,Rutina,6000,Tarjeta,Verrugas,B07,Cauterización,Sur,Belgrano,2025,9/11/2025,Noviembre,2
1116,78901234,Gabriel Sosa,62,Adulto,10/11/2025,OSDE, Carlos Ruíz,Clínica General,Control,6500,Seguro Médico,Resfrío,J00,Ninguno,Centro,Centro,2025,10/11/2025,Noviembre,4
1117,89012345,Luciana Vidal,38,Adulto,11/11/2025,Swiss Medical, Sofía Torres,Odontología,Control,9000,Efectivo,Chequeo,Z00.0,Ninguno,Norte,Palermo,2025,11/11/2025,Noviembre,4
1118,90123456,Pedro Cárdenas,60,Adulto,12/11/2025,Particular, Diego Luna,Neurología,Rutina,10000,Tarjeta,Temblores,R25.1,Estudio,Sur,Belgrano,2025,12/11/2025,Noviembre,3
1119,12345678,Sofía Ramirez,7,Pediátrico,13/11/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Chequeo Anual,Z00.1,Ninguno,Centro,Villa Devoto,2025,13/11/2025,Noviembre,4
1120,23456789,Mateo Gómez,48,Adulto,14/11/2025,Swiss Medical, Juan Pérez,Cardiología,Rutina,7800,Efectivo,Dolor de pecho,R07.4,Analgésicos,Norte,Palermo,2025,14/11/2025,Noviembre,1
1121,34567890,Diego Torres,32,Adulto,15/11/2025,Particular, Laura Díaz,Dermatología,Control,6000,Tarjeta,Control de lunar,Z12.8,Ninguno,Sur,Belgrano,2025,15/11/2025,Noviembre,4
1122,45678901,Julieta Paz,25,Adulto,16/11/2025,OSDE, Carlos Ruíz,Clínica General,Emergencia,6500,Seguro Médico,Dolor de garganta,J02.9,Antibióticos,Centro,Villa Devoto,2025,16/11/2025,Noviembre,1
1123,56789012,Andrés Castro,48,Adulto,17/11/2025,Swiss Medical, Sofía Torres,Odontología,Rutina,9000,Efectivo,Carie,K02.9,Relleno,Norte,Palermo,2025,17/11/2025,Noviembre,2
1124,67890123,Laura Pérez,35,Adulto,18/11/2025,Particular, Diego Luna,Neurología,Control,10000,Tarjeta,Migraña,G43.9,Medicacón,Sur,Belgrano,2025,18/11/2025,Noviembre,1
1125,78901234,Gabriel Sosa,6,Pediátrico,19/11/2025,OSDE, Ana Gómez,Pediatría,Control,5500,Seguro Médico,Crecimiento,R62.9,Vitaminas,Centro,Villa Devoto,2025,19/11/2025,Noviembre,1
